,hospital_id,year,staff_group,prod_hrs,prodhrs_adjptday
52,106010782,2009,Technician & Specialist,17640,1.78
53,106010782,2009,Registered Nurse,357,0.04
54,106010782,2009,Licensed Vocational Nurse,0,0.0
55,106010782,2009,Aides & Orderlies,14094,1.42
56,106010782,2009,Clerical & Other Administrative,9945,1.0
57,106010782,2009,Environmental & Food Services,5074,0.51
58,106010782,2009,Other,0,0.0
59,106010782,2009,Contracted Registry Nursing,354,0.04
60,106010782,2009,Contracted Other,2061,0.21
61,106010782,2009,Daily Cost Centers,33336,3.36
62,106010782,2009,Ambulatory Cost Centers,1368,0.14
63,106010782,2009,Ancillary Cost Centers,0,0.0
64,106010782,2009,Education Cost Centers,0,0.0
65,106010782,2009,General Services Cost Centers,9347,0.94
66,106010782,2009,Fiscal Services Cost Centers,13975,1.41
67,106010782,2009,Administrative Services Cost Centers,4228,0.43
68,106010805,2009,Management & Supervision,164648,1.88
69,106010805,2009,Technician & Specialist,493238,5.64
70,106010805,2009,Registered Nurse,804088,9.2
71,106010805,2009,Licensed Vocational Nurse,41493,0.47
72,106010805,2009,Aides & Orderlies,143285,1.64
73,106010805,2009,Clerical & Other Administrative,376872,4.31
74,106010805,2009,Environmental & Food Services,178356,2.04
75,106010805,2009,Other,62313,0.71
76,106010805,2009,Contracted Registry Nursing,50414,0.58
77,106010805,2009,Contracted Other,25653,0.29
78,106010805,2009,Daily Cost Centers,811485,9.28
79,106010805,2009,Ambulatory Cost Centers,221808,2.54
80,106010805,2009,Ancillary Cost Centers,544921,6.23
81,106010805,2009,Education Cost Centers,0,0.0
82,106010805,2009,General Services Cost Centers,415937,4.76
83,106010805,2009,Fiscal Services Cost Centers,112275,1.28
84,106010805,2009,Administrative Services Cost Centers,233934,2.68
85,106010846,2009,Management & Supervision,306179,1.78
86,106010846,2009,Technician & Specialist,949532,5.51
87,106010846,2009,Registered Nurse,991421,5.76
88,106010846,2009,Licensed Vocational Nurse,126386,0.73
89,106010846,2009,Aides & Orderlies,289841,1.68
90,106010846,2009,Clerical & Other Administrative,718014,4.17
91,106010846,2009,Environmental & Food Services,383844,2.23
92,106010846,2009,Other,376373,2.19
93,106010846,2009,Contracted Registry Nursing,287898,1.67
94,106010846,2009,Contracted Other,60342,0.35
95,106010846,2009,Daily Cost Centers,1228755,7.14
96,106010846,2009,Ambulatory Cost Centers,801345,4.65
97,106010846,2009,Ancillary Cost Centers,612747,3.56
98,106010846,2009,Education Cost Centers,299641,1.74
99,106010846,2009,General Services Cost Centers,779669,4.53
100,106010846,2009,Fiscal Services Cost Centers,321293,1.87
101,106010846,2009,Administrative Services Cost Centers,446380,2.59
102,106010856,2009,Management & Supervision,0,0.0
103,106010856,2009,Technician & Specialist,0,0.0
104,106010856,2009,Registered Nurse,2294043,26.42
105,106010856,2009,Licensed Vocational Nurse,14759,0.17
106,106010856,2009,Aides & Orderlies,221515,2.55
107,106010856,2009,Clerical & Other Administrative,0,0.0
108,106010856,2009,Environmental & Food Services,0,0.0
109,106010856,2009,Other,3954571,45.54
110,106010856,2009,Contracted Registry Nursing,53097,0.61
111,106010856,2009,Contracted Other,527,0.01
112,106010856,2009,Daily Cost Centers,2402187,27.66
113,106010856,2009,Ambulatory Cost Centers,167205,1.93
114,106010856,2009,Ancillary Cost Centers,928902,10.7
115,106010856,2009,Education Cost Centers,193513,2.23
116,106010856,2009,General Services Cost Centers,1623168,18.69
117,106010856,2009,Fiscal Services Cost Centers,0,0.0
118,106010856,2009,Administrative Services Cost Centers,1207209,13.9
119,106010858,2009,Management & Supervision,0,0.0
120,106010858,2009,Technician & Specialist,0,0.0
121,106010858,2009,Registered Nurse,1674237,26.39
122,106010858,2009,Licensed Vocational Nurse,33999,0.54
123,106010858,2009,Aides & Orderlies,150828,2.38
124,106010858,2009,Clerical & Other Administrative,0,0.0
125,106010858,2009,Environmental & Food Services,0,0.0
126,106010858,2009,Other,2809499,44.29
127,106010858,2009,Contracted Registry Nursing,6065,0.1
128,106010858,2009,Contracted Other,729,0.01
129,106010858,2009,Daily Cost Centers,1723678,27.17
130,106010858,2009,Ambulatory Cost Centers,155908,2.46
131,106010858,2009,Ancillary Cost Centers,653749,10.31
132,106010858,2009,Education Cost Centers,6157,0.1
133,106010858,2009,General Services Cost Centers,908161,14.32
134,106010858,2009,Fiscal Services Cost Centers,0,0.0
135,106010858,2009,Administrative Services Cost Centers,1203374,18.97
136,106010887,2009,Management & Supervision,37185,1.9
137,106010887,2009,Technician & Specialist,62790,3.2
138,106010887,2009,Registered Nurse,99805,5.09
139,106010887,2009,Licensed Vocational Nurse,32905,1.68
140,106010887,2009,Aides & Orderlies,43588,2.22
141,106010887,2009,Clerical & Other Administrative,85623,4.37
142,106010887,2009,Environmental & Food Services,38099,1.94
143,106010887,2009,Other,0,0.0
144,106010887,2009,Contracted Registry Nursing,755,0.04
145,106010887,2009,Contracted Other,0,0.0
146,106010887,2009,Daily Cost Centers,199812,10.19
147,106010887,2009,Ambulatory Cost Centers,0,0.0
148,106010887,2009,Ancillary Cost Centers,69664,3.55
149,106010887,2009,Education Cost Centers,0,0.0
150,106010887,2009,General Services Cost Centers,53193,2.71
151,106010887,2009,Fiscal Services Cost Centers,20383,1.04
152,106010887,2009,Administrative Services Cost Centers,57698,2.94
153,106010937,2009,Management & Supervision,221276,2.08
154,106010937,2009,Technician & Specialist,659469,6.19
155,106010937,2009,Registered Nurse,931276,8.75
156,106010937,2009,Licensed Vocational Nurse,26788,0.25
157,106010937,2009,Aides & Orderlies,230554,2.17
158,106010937,2009,Clerical & Other Administrative,702592,6.6
159,106010937,2009,Environmental & Food Services,385821,3.62
160,106010937,2009,Other,81624,0.77
161,106010937,2009,Contracted Registry Nursing,129075,1.21
162,106010937,2009,Contracted Other,93946,0.88
163,106010937,2009,Daily Cost Centers,1049595,9.86
164,106010937,2009,Ambulatory Cost Centers,250936,2.36
165,106010937,2009,Ancillary Cost Centers,782211,7.35
166,106010937,2009,Education Cost Centers,353193,3.32
167,106010937,2009,General Services Cost Centers,570964,5.36
168,106010937,2009,Fiscal Services Cost Centers,168209,1.58
169,106010937,2009,Administrative Services Cost Centers,250933,2.36
170,106010967,2009,Management & Supervision,121499,2.33
171,106010967,2009,Technician & Specialist,334406,6.41
172,106010967,2009,Registered Nurse,507287,9.72
173,106010967,2009,Licensed Vocational Nurse,26231,0.5
174,106010967,2009,Aides & Orderlies,101311,1.94
175,106010967,2009,Clerical & Other Administrative,256266,4.91
176,106010967,2009,Environmental & Food Services,127511,2.44
177,106010967,2009,Other,13037,0.25
178,106010967,2009,Contracted Registry Nursing,23759,0.46
179,106010967,2009,Contracted Other,10227,0.2
180,106010967,2009,Daily Cost Centers,526924,10.1
181,106010967,2009,Ambulatory Cost Centers,154925,2.97
182,106010967,2009,Ancillary Cost Centers,370107,7.09
183,106010967,2009,Education Cost Centers,0,0.0
184,106010967,2009,General Services Cost Centers,238141,4.56
185,106010967,2009,Fiscal Services Cost Centers,102572,1.97
186,106010967,2009,Administrative Services Cost Centers,128865,2.47
187,106010987,2009,Management & Supervision,201730,2.61
188,106010987,2009,Technician & Specialist,628638,8.13
189,106010987,2009,Registered Nurse,848188,10.97
190,106010987,2009,Licensed Vocational Nurse,38210,0.49
191,106010987,2009,Aides & Orderlies,99111,1.28
192,106010987,2009,Clerical & Other Administrative,415892,5.38
193,106010987,2009,Environmental & Food Services,239324,3.1
194,106010987,2009,Other,54186,0.7
195,106010987,2009,Contracted Registry Nursing,7860,0.1
196,106010987,2009,Contracted Other,18141,0.23
197,106010987,2009,Daily Cost Centers,848720,10.98
198,106010987,2009,Ambulatory Cost Centers,111069,1.44
199,106010987,2009,Ancillary Cost Centers,579371,7.5
200,106010987,2009,Education Cost Centers,0,0.0
201,106010987,2009,General Services Cost Centers,519922,6.73
202,106010987,2009,Fiscal Services Cost Centers,184921,2.39
203,106010987,2009,Administrative Services Cost Centers,307277,3.98
204,106013687,2009,Management & Supervision,5015,0.7
205,106013687,2009,Technician & Specialist,16272,2.27
206,106013687,2009,Registered Nurse,3544,0.5
207,106013687,2009,Licensed Vocational Nurse,2518,0.35
208,106013687,2009,Aides & Orderlies,4014,0.56
209,106013687,2009,Clerical & Other Administrative,5281,0.74
210,106013687,2009,Environmental & Food Services,0,0.0
211,106013687,2009,Other,0,0.0
212,106013687,2009,Contracted Registry Nursing,0,0.0
213,106013687,2009,Contracted Other,1164,0.16
214,106013687,2009,Daily Cost Centers,37808,5.29
215,106013687,2009,Ambulatory Cost Centers,0,0.0
216,106013687,2009,Ancillary Cost Centers,0,0.0
217,106013687,2009,Education Cost Centers,0,0.0
218,106013687,2009,General Services Cost Centers,0,0.0
219,106013687,2009,Fiscal Services Cost Centers,0,0.0
220,106013687,2009,Administrative Services Cost Centers,0,0.0
221,106014034,2009,Management & Supervision,41779,1.34
222,106014034,2009,Technician & Specialist,143247,4.6
223,106014034,2009,Registered Nurse,56881,1.83
224,106014034,2009,Licensed Vocational Nurse,8590,0.28
225,106014034,2009,Aides & Orderlies,0,0.0
226,106014034,2009,Clerical & Other Administrative,10076,0.32
227,106014034,2009,Environmental & Food Services,15887,0.51
228,106014034,2009,Other,62403,2.0
229,106014034,2009,Contracted Registry Nursing,0,0.0
230,106014034,2009,Contracted Other,11080,0.36
231,106014034,2009,Daily Cost Centers,165352,5.31
232,106014034,2009,Ambulatory Cost Centers,19420,0.62
233,106014034,2009,Ancillary Cost Centers,0,0.0
234,106014034,2009,Education Cost Centers,0,0.0
235,106014034,2009,General Services Cost Centers,85694,2.75
236,106014034,2009,Fiscal Services Cost Centers,35297,1.13
237,106014034,2009,Administrative Services Cost Centers,44180,1.42
238,106014050,2009,Management & Supervision,258731,3.85
239,106014050,2009,Technician & Specialist,479022,7.13
240,106014050,2009,Registered Nurse,448119,6.67
241,106014050,2009,Licensed Vocational Nurse,17420,0.26
242,106014050,2009,Aides & Orderlies,138917,2.07
243,106014050,2009,Clerical & Other Administrative,413055,6.15
244,106014050,2009,Environmental & Food Services,140373,2.09
245,106014050,2009,Other,30072,0.45
246,106014050,2009,Contracted Registry Nursing,61639,0.92
247,106014050,2009,Contracted Other,3646,0.05
248,106014050,2009,Daily Cost Centers,499959,7.44
249,106014050,2009,Ambulatory Cost Centers,79813,1.19
250,106014050,2009,Ancillary Cost Centers,754163,11.22
251,106014050,2009,Education Cost Centers,2721,0.04
252,106014050,2009,General Services Cost Centers,332472,4.95
253,106014050,2009,Fiscal Services Cost Centers,167122,2.49
254,106014050,2009,Administrative Services Cost Centers,154744,2.3
255,106014207,2009,Management & Supervision,9300,1.36
256,106014207,2009,Technician & Specialist,11252,1.65
257,106014207,2009,Registered Nurse,21000,3.07
258,106014207,2009,Licensed Vocational Nurse,6429,0.94
259,106014207,2009,Aides & Orderlies,20571,3.01
260,106014207,2009,Clerical & Other Administrative,10412,1.52
261,106014207,2009,Environmental & Food Services,9042,1.32
262,106014207,2009,Other,0,0.0
263,106014207,2009,Contracted Registry Nursing,0,0.0
264,106014207,2009,Contracted Other,569,0.08
265,106014207,2009,Daily Cost Centers,54535,7.98
266,106014207,2009,Ambulatory Cost Centers,0,0.0
267,106014207,2009,Ancillary Cost Centers,0,0.0
268,106014207,2009,Education Cost Centers,0,0.0
269,106014207,2009,General Services Cost Centers,19626,2.87
270,106014207,2009,Fiscal Services Cost Centers,4502,0.66
271,106014207,2009,Administrative Services Cost Centers,9912,1.45
272,106014226,2009,Management & Supervision,8552,2.58
273,106014226,2009,Technician & Specialist,10970,3.31
274,106014226,2009,Registered Nurse,10238,3.09
275,106014226,2009,Licensed Vocational Nurse,6391,1.93
276,106014226,2009,Aides & Orderlies,24255,7.31
277,106014226,2009,Clerical & Other Administrative,5441,1.64
278,106014226,2009,Environmental & Food Services,0,0.0
279,106014226,2009,Other,0,0.0
280,106014226,2009,Contracted Registry Nursing,0,0.0
281,106014226,2009,Contracted Other,3778,1.14
282,106014226,2009,Daily Cost Centers,53320,16.07
283,106014226,2009,Ambulatory Cost Centers,0,0.0
284,106014226,2009,Ancillary Cost Centers,0,0.0
285,106014226,2009,Education Cost Centers,0,0.0
286,106014226,2009,General Services Cost Centers,6048,1.82
287,106014226,2009,Fiscal Services Cost Centers,2024,0.61
288,106014226,2009,Administrative Services Cost Centers,8233,2.48
289,106015000,2009,Management & Supervision,0,0.0
290,106015000,2009,Technician & Specialist,0,0.0
291,106015000,2009,Registered Nurse,0,0.0
292,106015000,2009,Licensed Vocational Nurse,0,0.0
293,106015000,2009,Aides & Orderlies,0,0.0
294,106015000,2009,Clerical & Other Administrative,0,0.0
295,106015000,2009,Environmental & Food Services,0,0.0
296,106015000,2009,Other,0,0.0
297,106015000,2009,Contracted Registry Nursing,0,0.0
298,106015000,2009,Contracted Other,0,0.0
299,106015000,2009,Daily Cost Centers,0,0.0
300,106015000,2009,Ambulatory Cost Centers,0,0.0
301,106015000,2009,Ancillary Cost Centers,0,0.0
302,106015000,2009,Education Cost Centers,0,0.0
303,106015000,2009,General Services Cost Centers,0,0.0
304,106015000,2009,Fiscal Services Cost Centers,0,0.0
305,106015000,2009,Administrative Services Cost Centers,0,0.0
306,106034002,2009,Management & Supervision,74788,4.48
307,106034002,2009,Technician & Specialist,125443,7.52
308,106034002,2009,Registered Nurse,143143,8.58
309,106034002,2009,Licensed Vocational Nurse,8823,0.53
310,106034002,2009,Aides & Orderlies,44011,2.64
311,106034002,2009,Clerical & Other Administrative,120733,7.23
312,106034002,2009,Environmental & Food Services,70747,4.24
313,106034002,2009,Other,56926,3.41
314,106034002,2009,Contracted Registry Nursing,5938,0.36
315,106034002,2009,Contracted Other,12337,0.74
316,106034002,2009,Daily Cost Centers,129426,7.75
317,106034002,2009,Ambulatory Cost Centers,113919,6.83
318,106034002,2009,Ancillary Cost Centers,213140,12.77
319,106034002,2009,Education Cost Centers,0,0.0
320,106034002,2009,General Services Cost Centers,118710,7.11
321,106034002,2009,Fiscal Services Cost Centers,38693,2.32
322,106034002,2009,Administrative Services Cost Centers,49001,2.94
323,106040802,2009,Management & Supervision,34610,1.73
324,106040802,2009,Technician & Specialist,43639,2.18
325,106040802,2009,Registered Nurse,40941,2.05
326,106040802,2009,Licensed Vocational Nurse,44644,2.23
327,106040802,2009,Aides & Orderlies,49595,2.48
328,106040802,2009,Clerical & Other Administrative,96072,4.8
329,106040802,2009,Environmental & Food Services,13691,0.68
330,106040802,2009,Other,18485,0.92
331,106040802,2009,Contracted Registry Nursing,901,0.05
332,106040802,2009,Contracted Other,0,0.0
333,106040802,2009,Daily Cost Centers,114691,5.73
334,106040802,2009,Ambulatory Cost Centers,33213,1.66
335,106040802,2009,Ancillary Cost Centers,67281,3.36
336,106040802,2009,Education Cost Centers,0,0.0
337,106040802,2009,General Services Cost Centers,54982,2.75
338,106040802,2009,Fiscal Services Cost Centers,42623,2.13
339,106040802,2009,Administrative Services Cost Centers,29788,1.49
340,106040875,2009,Management & Supervision,84196,2.02
341,106040875,2009,Technician & Specialist,380348,9.11
342,106040875,2009,Registered Nurse,327643,7.85
343,106040875,2009,Licensed Vocational Nurse,52795,1.26
344,106040875,2009,Aides & Orderlies,106486,2.55
345,106040875,2009,Clerical & Other Administrative,392916,9.41
346,106040875,2009,Environmental & Food Services,128375,3.07
347,106040875,2009,Other,149385,3.58
348,106040875,2009,Contracted Registry Nursing,0,0.0
349,106040875,2009,Contracted Other,0,0.0
350,106040875,2009,Daily Cost Centers,300512,7.2
351,106040875,2009,Ambulatory Cost Centers,456487,10.93
352,106040875,2009,Ancillary Cost Centers,359069,8.6
353,106040875,2009,Education Cost Centers,0,0.0
354,106040875,2009,General Services Cost Centers,221676,5.31
355,106040875,2009,Fiscal Services Cost Centers,94684,2.27
356,106040875,2009,Administrative Services Cost Centers,164240,3.93
357,106040937,2009,Management & Supervision,137258,2.47
358,106040937,2009,Technician & Specialist,522779,9.4
359,106040937,2009,Registered Nurse,347961,6.26
360,106040937,2009,Licensed Vocational Nurse,84013,1.51
361,106040937,2009,Aides & Orderlies,65256,1.17
362,106040937,2009,Clerical & Other Administrative,363759,6.54
363,106040937,2009,Environmental & Food Services,155073,2.79
364,106040937,2009,Other,43478,0.78
365,106040937,2009,Contracted Registry Nursing,1776,0.03
366,106040937,2009,Contracted Other,0,0.0
367,106040937,2009,Daily Cost Centers,374829,6.74
368,106040937,2009,Ambulatory Cost Centers,323075,5.81
369,106040937,2009,Ancillary Cost Centers,476042,8.56
370,106040937,2009,Education Cost Centers,0,0.0
371,106040937,2009,General Services Cost Centers,266182,4.79
372,106040937,2009,Fiscal Services Cost Centers,138111,2.48
373,106040937,2009,Administrative Services Cost Centers,143114,2.57
374,106040962,2009,Management & Supervision,191206,1.87
375,106040962,2009,Technician & Specialist,817323,8.0
376,106040962,2009,Registered Nurse,1000748,9.79
377,106040962,2009,Licensed Vocational Nurse,52144,0.51
378,106040962,2009,Aides & Orderlies,462045,4.52
379,106040962,2009,Clerical & Other Administrative,665390,6.51
380,106040962,2009,Environmental & Food Services,73096,0.72
381,106040962,2009,Other,50465,0.49
382,106040962,2009,Contracted Registry Nursing,36791,0.36
383,106040962,2009,Contracted Other,8285,0.08
384,106040962,2009,Daily Cost Centers,1088557,10.65
385,106040962,2009,Ambulatory Cost Centers,587942,5.75
386,106040962,2009,Ancillary Cost Centers,743059,7.27
387,106040962,2009,Education Cost Centers,0,0.0
388,106040962,2009,General Services Cost Centers,348561,3.41
389,106040962,2009,Fiscal Services Cost Centers,204127,2.0
390,106040962,2009,Administrative Services Cost Centers,385247,3.77
391,106044006,2009,Management & Supervision,0,0.0
392,106044006,2009,Technician & Specialist,0,0.0
393,106044006,2009,Registered Nurse,0,0.0
394,106044006,2009,Licensed Vocational Nurse,0,0.0
395,106044006,2009,Aides & Orderlies,0,0.0
396,106044006,2009,Clerical & Other Administrative,0,0.0
397,106044006,2009,Environmental & Food Services,0,0.0
398,106044006,2009,Other,0,0.0
399,106044006,2009,Contracted Registry Nursing,0,0.0
400,106044006,2009,Contracted Other,0,0.0
401,106044006,2009,Daily Cost Centers,0,0.0
402,106044006,2009,Ambulatory Cost Centers,0,0.0
403,106044006,2009,Ancillary Cost Centers,0,0.0
404,106044006,2009,Education Cost Centers,0,0.0
405,106044006,2009,General Services Cost Centers,0,0.0
406,106044006,2009,Fiscal Services Cost Centers,0,0.0
407,106044006,2009,Administrative Services Cost Centers,0,0.0
408,106050932,2009,Management & Supervision,58123,4.14
409,106050932,2009,Technician & Specialist,110966,7.9
410,106050932,2009,Registered Nurse,83399,5.94
411,106050932,2009,Licensed Vocational Nurse,12200,0.87
412,106050932,2009,Aides & Orderlies,7948,0.57
413,106050932,2009,Clerical & Other Administrative,89639,6.38
414,106050932,2009,Environmental & Food Services,25903,1.84
415,106050932,2009,Other,31582,2.25
416,106050932,2009,Contracted Registry Nursing,4765,0.34
417,106050932,2009,Contracted Other,28492,2.03
418,106050932,2009,Daily Cost Centers,69765,4.97
419,106050932,2009,Ambulatory Cost Centers,94440,6.73
420,106050932,2009,Ancillary Cost Centers,131086,9.34
421,106050932,2009,Education Cost Centers,0,0.0
422,106050932,2009,General Services Cost Centers,70904,5.05
423,106050932,2009,Fiscal Services Cost Centers,26927,1.92
424,106050932,2009,Administrative Services Cost Centers,59895,4.27
425,106060870,2009,Management & Supervision,39359,3.78
426,106060870,2009,Technician & Specialist,43171,4.14
427,106060870,2009,Registered Nurse,31154,2.99
428,106060870,2009,Licensed Vocational Nurse,12143,1.17
429,106060870,2009,Aides & Orderlies,35723,3.43
430,106060870,2009,Clerical & Other Administrative,71726,6.88
431,106060870,2009,Environmental & Food Services,23160,2.22
432,106060870,2009,Other,9257,0.89
433,106060870,2009,Contracted Registry Nursing,39870,3.83
434,106060870,2009,Contracted Other,17686,1.7
435,106060870,2009,Daily Cost Centers,64286,6.17
436,106060870,2009,Ambulatory Cost Centers,67098,6.44
437,106060870,2009,Ancillary Cost Centers,81922,7.86
438,106060870,2009,Education Cost Centers,0,0.0
439,106060870,2009,General Services Cost Centers,54172,5.2
440,106060870,2009,Fiscal Services Cost Centers,22318,2.14
441,106060870,2009,Administrative Services Cost Centers,33453,3.21
442,106070904,2009,Management & Supervision,83172,1.8
443,106070904,2009,Technician & Specialist,269836,5.83
444,106070904,2009,Registered Nurse,405855,8.77
445,106070904,2009,Licensed Vocational Nurse,19916,0.43
446,106070904,2009,Aides & Orderlies,35683,0.77
447,106070904,2009,Clerical & Other Administrative,267932,5.79
448,106070904,2009,Environmental & Food Services,107565,2.32
449,106070904,2009,Other,0,0.0
450,106070904,2009,Contracted Registry Nursing,41254,0.89
451,106070904,2009,Contracted Other,22657,0.49
452,106070904,2009,Daily Cost Centers,365517,7.9
453,106070904,2009,Ambulatory Cost Centers,122403,2.65
454,106070904,2009,Ancillary Cost Centers,328533,7.1
455,106070904,2009,Education Cost Centers,0,0.0
456,106070904,2009,General Services Cost Centers,232498,5.03
457,106070904,2009,Fiscal Services Cost Centers,92300,1.99
458,106070904,2009,Administrative Services Cost Centers,112619,2.43
459,106070924,2009,Management & Supervision,235059,2.79
460,106070924,2009,Technician & Specialist,592553,7.04
461,106070924,2009,Registered Nurse,715761,8.5
462,106070924,2009,Licensed Vocational Nurse,207252,2.46
463,106070924,2009,Aides & Orderlies,191379,2.27
464,106070924,2009,Clerical & Other Administrative,748890,8.9
465,106070924,2009,Environmental & Food Services,235724,2.8
466,106070924,2009,Other,397528,4.72
467,106070924,2009,Contracted Registry Nursing,47629,0.57
468,106070924,2009,Contracted Other,758,0.01
469,106070924,2009,Daily Cost Centers,546686,6.5
470,106070924,2009,Ambulatory Cost Centers,1059914,12.59
471,106070924,2009,Ancillary Cost Centers,502682,5.97
472,106070924,2009,Education Cost Centers,669,0.01
473,106070924,2009,General Services Cost Centers,514016,6.11
474,106070924,2009,Fiscal Services Cost Centers,366928,4.36
475,106070924,2009,Administrative Services Cost Centers,381638,4.53
476,106070934,2009,Management & Supervision,56133,1.25
477,106070934,2009,Technician & Specialist,253324,5.66
478,106070934,2009,Registered Nurse,373948,8.35
479,106070934,2009,Licensed Vocational Nurse,22924,0.51
480,106070934,2009,Aides & Orderlies,46200,1.03
481,106070934,2009,Clerical & Other Administrative,192746,4.3
482,106070934,2009,Environmental & Food Services,99687,2.23
483,106070934,2009,Other,41672,0.93
484,106070934,2009,Contracted Registry Nursing,65332,1.46
485,106070934,2009,Contracted Other,23620,0.53
486,106070934,2009,Daily Cost Centers,385105,8.6
487,106070934,2009,Ambulatory Cost Centers,130890,2.92
488,106070934,2009,Ancillary Cost Centers,271831,6.07
489,106070934,2009,Education Cost Centers,0,0.0
490,106070934,2009,General Services Cost Centers,173733,3.88
491,106070934,2009,Fiscal Services Cost Centers,89880,2.01
492,106070934,2009,Administrative Services Cost Centers,124147,2.77
493,106070988,2009,Management & Supervision,316726,2.73
494,106070988,2009,Technician & Specialist,1525017,13.12
495,106070988,2009,Registered Nurse,1333342,11.47
496,106070988,2009,Licensed Vocational Nurse,20254,0.17
497,106070988,2009,Aides & Orderlies,233782,2.01
498,106070988,2009,Clerical & Other Administrative,723781,6.23
499,106070988,2009,Environmental & Food Services,266246,2.29
500,106070988,2009,Other,177793,1.53
501,106070988,2009,Contracted Registry Nursing,90757,0.78
502,106070988,2009,Contracted Other,8176,0.07
503,106070988,2009,Daily Cost Centers,1243642,10.7
504,106070988,2009,Ambulatory Cost Centers,475080,4.09
505,106070988,2009,Ancillary Cost Centers,2051479,17.65
506,106070988,2009,Education Cost Centers,21913,0.19
507,106070988,2009,General Services Cost Centers,637195,5.48
508,106070988,2009,Fiscal Services Cost Centers,13363,0.11
509,106070988,2009,Administrative Services Cost Centers,253202,2.18
510,106070990,2009,Management & Supervision,0,0.0
511,106070990,2009,Technician & Specialist,0,0.0
512,106070990,2009,Registered Nurse,1763582,26.43
513,106070990,2009,Licensed Vocational Nurse,22023,0.33
514,106070990,2009,Aides & Orderlies,160901,2.41
515,106070990,2009,Clerical & Other Administrative,0,0.0
516,106070990,2009,Environmental & Food Services,0,0.0
517,106070990,2009,Other,2700103,40.46
518,106070990,2009,Contracted Registry Nursing,2978,0.04
519,106070990,2009,Contracted Other,485,0.01
520,106070990,2009,Daily Cost Centers,1686793,25.28
521,106070990,2009,Ambulatory Cost Centers,243979,3.66
522,106070990,2009,Ancillary Cost Centers,659928,9.89
523,106070990,2009,Education Cost Centers,11380,0.17
524,106070990,2009,General Services Cost Centers,1026580,15.38
525,106070990,2009,Fiscal Services Cost Centers,0,0.0
526,106070990,2009,Administrative Services Cost Centers,990305,14.84
527,106071018,2009,Management & Supervision,90742,1.39
528,106071018,2009,Technician & Specialist,533764,8.15
529,106071018,2009,Registered Nurse,763366,11.66
530,106071018,2009,Licensed Vocational Nurse,8923,0.14
531,106071018,2009,Aides & Orderlies,185205,2.83
532,106071018,2009,Clerical & Other Administrative,179992,2.75
533,106071018,2009,Environmental & Food Services,222239,3.39
534,106071018,2009,Other,27900,0.43
